title,summary
Texas Killing Fields,"Texas Killing Fields (also known as The Fields) is a 2011 American crime film directed by Ami Canaan Mann and starring Sam Worthington, Jeffrey Dean Morgan, Jessica Chastain and Chloë Grace Moretz. It competed in the 68th Venice International Film Festival in September.Several killings occur along Houston's I-45 corridor between Houston and Galveston, in and around an area known as ""the Killing Fields"". The film's screenplay was loosely inspired by true events surrounding the murders of women kidnapped from cities spread along 30-plus miles of the I-45 corridor and dumped in many areas, including various bayous surrounding the oil fields of Texas City, Texas. While in real life there have been several itinerant serial killers involved over the years, the film focuses on specific local Texas City suspects."
Logan (film),"Logan is a 2017 American superhero film starring Hugh Jackman as the titular character. It is the tenth film in the X-Men film series and the third and final installment in the Wolverine trilogy following X-Men Origins: Wolverine (2009) and The Wolverine (2013). The film, which takes inspiration from  ""Old Man Logan"" by Mark Millar and Steve McNiven, based in an alternate bleak future, follows an aged Wolverine and an extremely ill Charles Xavier who defend a young mutant named Laura from the villainous Reavers led by Donald Pierce and Zander Rice. The film is produced by 20th Century Fox, Marvel Entertainment, TSG Entertainment and The Donners' Company, and distributed by 20th Century Fox. It is directed by James Mangold, who co-wrote the screenplay with Michael Green and Scott Frank, from a story by Mangold. In addition to Jackman, the film also stars Patrick Stewart, Richard E. Grant, Boyd Holbrook, Stephen Merchant, and Dafne Keen.Principal photography began in Louisiana on May 2, 2016, and wrapped on August 19, 2016, in New Mexico. The locations used for Logan were mainly in Louisiana, New Mexico, and Mississippi.Logan premiered at the 67th Berlin International Film Festival on February 17, 2017, and was theatrically released in the United States on March 3, 2017, in IMAX and standard formats. The film received critical acclaim, with much praise for its screenplay, direction, acting (particularly that of Jackman, Stewart, and Keen), action sequences, emotional depth, and departure from traditional superhero films. It became one of the best-reviewed films in the X-Men franchise, with many critics regarding it as one of the greatest superhero films ever made, and it was selected by the National Board of Review as one of the top ten films of 2017. It was nominated for Best Adapted Screenplay at the 90th Academy Awards, becoming the first live-action superhero film ever to be nominated for screenwriting. It grossed over $619 million worldwide and became the third-highest-grossing R-rated film of all time.

"
WALL-E,"WALL-E (stylized with an interpunct as WALL·E) is a 2008 American computer-animated science fiction romance film produced by Pixar Animation Studios for Walt Disney Pictures. It was directed and co-written by Andrew Stanton, produced by Jim Morris, and co-written by Jim Reardon. It stars the voices of Ben Burtt, Elissa Knight, Jeff Garlin, John Ratzenberger, Kathy Najimy and Sigourney Weaver, with Fred Willard in the film’s (and Pixar’s) only prominent live-action role. The overall ninth feature film produced by the company, WALL-E follows a solitary trash compactor robot on a future, uninhabitable, deserted Earth, left to clean up garbage. However, he is visited by a probe sent by the starship Axiom, a robot called EVE, with whom he falls in love and pursues across the galaxy.
After directing Finding Nemo, Stanton felt Pixar had created believable simulations of underwater physics and was willing to direct a film set largely in space. WALL-E has minimal dialogue in its early sequences; many of the characters do not have voices, but instead communicate with body language and robotic sounds designed by Burtt. The film criticizes consumerism, corporatocracy, nostalgia, waste management, human environmental impact and concerns, obesity, and global catastrophic risk. It is also Pixar's first animated film with segments featuring live-action characters. Following Pixar tradition, WALL-E was paired with a short film titled Presto for its theatrical release.
WALL-E was released in the United States on June 27, 2008. The film was critically praised for its animation, story, voice acting, characters, score, and use of minimal dialogue. It was also commercially successful, grossing $533.3 million worldwide over a $180 million budget. It won the 2008 Golden Globe Award for Best Animated Feature Film, the 2009 Hugo Award for Best Long Form Dramatic Presentation, the final Nebula Award for Best Script, the Saturn Award for Best Animated Film and the Academy Award for Best Animated Feature with five nominations. It is considered by many fans and critics as the best film of 2008. The film also topped Time's list of the ""Best Movies of the Decade"", and in 2016 was voted 29th among 100 films considered the best of the 21st century by 117 film critics from around the world."
Batman v Superman: Dawn of Justice,"Batman v Superman: Dawn of Justice is a 2016 American superhero film featuring the DC Comics characters Batman and Superman. It is a direct sequel to 2013's Man of Steel and the second installment in the DC Extended Universe (DCEU). The film is directed by Zack Snyder, written by Chris Terrio and David S. Goyer, and features an ensemble cast that includes 
Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg, Diane Lane, Laurence Fishburne, Jeremy Irons, Holly Hunter, and Gal Gadot. Batman v Superman: Dawn of Justice is the first live-action film to feature Batman and Superman together, as well as the first live-action cinematic portrayal of Wonder Woman. In the film, criminal mastermind Lex Luthor manipulates Batman into a preemptive battle with Superman, whom Luthor is obsessed with.
The film was announced at the 2013 San Diego Comic-Con after the release of Man of Steel. Snyder stated that the film would take inspiration from the Batman comic book series The Dark Knight Returns by Frank Miller but clarified that it would follow an original premise. The incarnation of Batman in the film is different from the character's previous portrayal in The Dark Knight Trilogy, serving as a cinematic reboot of the character. The film is also inspired by narrative elements from the ""Death of Superman"". Pre-production began at East Los Angeles College in October 2013, with principal photography starting in May 2014 in Detroit. Additional filming also took place in Illinois and New Mexico, concluding that December.
Batman v Superman: Dawn of Justice premiered at the Auditorio Nacional in Mexico City on March 19, 2016, and was released in the United States on March 25, 2016, in 2D, Real D 3D, IMAX 3D, IMAX, 4DX, premium large formats, and 70 mm prints by Warner Bros. Pictures. Following a strong debut that set new box office records, the film experienced a historic drop in its second weekend and never recovered. Despite turning a profit, it was deemed a box office disappointment and received generally unfavorable reviews from critics for its tone, screenplay, and pacing, though some praised its visual style and acting performances. An extended cut dubbed the ""Ultimate Edition"", which features 31 minutes of additional footage, was released digitally on June 28, 2016, and on Blu-ray on July 19, 2016, to an improved critical reception. A follow-up, Justice League, was released in November 2017."
Scream 2,"Scream 2  is a 1997 American slasher film directed by Wes Craven and written by Kevin Williamson. It stars David Arquette, Neve Campbell, Courteney Cox, Sarah Michelle Gellar, Jamie Kennedy, Laurie Metcalf, Jerry O'Connell, Jada Pinkett and Liev Schreiber. The film was released on December 12, 1997, less than a year after the first, by Dimension Films as the second installment in the Scream film series. It was followed by two sequels, Scream 3 (2000) and Scream 4 (2011). Scream 2 takes place two years after the first film and again follows the character of Sidney Prescott (Campbell), and other Woodsboro survivors, at the fictional Windsor College in Ohio, who becomes the target of a copycat killer using the guise of Ghostface.
Like its predecessor, Scream 2 combines the violence of the slasher genre with elements of comedy and ""whodunit"" mystery while satirizing the cliché of film sequels.
Williamson provided a five-page outline for a sequel to Scream when auctioning his original script, hoping to entice bidders with the potential of buying a franchise. Following a successful test screening of Scream and the film's financial and critical success, Dimension moved forward with the sequel while Scream was still in theaters, with the principal cast all returning to star, Craven to direct and Beltrami to provide music.
The film suffered controversy following its significant issues with plot information leaking onto the Internet, revealing the identity of the killers. Combined with the film's rushed schedule, the script was rewritten often; pages were sometimes completed on the day of filming. Despite these issues, Scream 2 earned $172.4 million at the box office, only $683,362 less than Scream, and received positive reviews from critics, with some arguing that it surpassed the original in quality.
Beltrami received positive critical reception for his score for evolving the musical themes of the characters created in Scream although some critics claimed that the most memorable pieces from the film were created by composers Danny Elfman and Hans Zimmer. Elfman's contribution had been specially written for the film, but Zimmer's score for Broken Arrow was controversially used in the film, replacing Beltrami's own work. The film's soundtrack achieved moderate sales success, reaching #50 on the Billboard 200."
Carrie (1976 film),"Carrie is a 1976 American supernatural horror film directed by Brian De Palma from a screenplay written by Lawrence D. Cohen, adapted from Stephen King's  1974 epistolary novel of the same name. The film stars Sissy Spacek as Carrie White, a 16-year-old diffident teenager who is consistently mocked and bullied at school. Her peers are unaware that she possesses telekinetic powers. The film also featured Piper Laurie, Amy Irving, Nancy Allen, William Katt, P. J. Soles, Betty Buckley, and John Travolta in supporting roles. It is the first film in the Carrie franchise.
The film was based on King's first novel by the same name. De Palma was intrigued by the story and pushed for the studio to direct it while Spacek was encouraged by her husband to audition. It is the first of more than 100 film and television productions adapted from, or based on, the published works of King.
Carrie was theatrically released on November 3, 1976, by United Artists. The film became a critical and commercial success, grossing over $33.8 million against its $1.8 million budget. It received two nominations at the 49th Academy Awards: Best Actress (for Spacek) and Best Supporting Actress (for Laurie).
It is widely cited by critics and audience members alike as the best adaptation of the novel amongst the numerous films and television shows based on the character, as well as one of the best films based on King's publications. The film has had a significant influence on popular culture.  Several publications have regarded it as one of the greatest horror films ever made. In 2008, Carrie was ranked 86th on Empire's list of The 500 Greatest Movies of All Time. It was ranked 15th on Entertainment Weekly's list of the 50 Best High School Movies, 46th on the American Film Institute list AFI's 100 Years...100 Thrills. The film's prom scene has had a major influence on popular culture and was ranked eighth on Bravo's The 100 Scariest Moments in Cinematic History (2004)."
Paris Commune,"Paris Commune    The Paris Commune (French: La Commune de Paris...
Paris Commune    The Paris Commune (French: La Commune de Paris...
Paris Commune    The Paris Commune (French: La Commune de Paris...
Paris Commune    The Paris Commune (French: La Commune de Paris...
Paris Commune    The Paris Commune (French: La Commune de Paris...
Paris Commune    The Paris Commune (French: La Commune de Paris...
dtype: object"
Eyes Wide Shut,"Eyes Wide Shut is a 1999 erotic mystery psychological drama film directed, produced and co-written by Stanley Kubrick. Based on the 1926 novella Traumnovelle (Dream Story) by Arthur Schnitzler, the story is transferred from early 20th-century Vienna to 1990s New York City. The film follows the sexually charged adventures of Dr. Bill Harford, who is shocked when his wife, Alice, reveals that she had contemplated having an affair a year earlier. He embarks on a night-long adventure, during which he infiltrates a massive masked orgy of an unnamed secret society.
Kubrick obtained the filming rights for Dream Story in the 1960s, considering it a perfect text for a film adaptation about sexual relations. He revived the project in the 1990s when he hired writer Frederic Raphael to help him with the adaptation. The film, which was mostly shot in the United Kingdom, apart from some exterior establishing shots, includes a detailed recreation of exterior Greenwich Village street scenes made at Pinewood Studios. The film's production, at 400 days, holds the Guinness World Record for the longest continuous film shoot.
Kubrick died six days after showing his final cut to Warner Bros. Pictures, making this the final film he directed. In order to ensure a theatrical R rating in the United States, Warner Bros. digitally altered several sexually explicit scenes during post-production. This version was released on July 16, 1999, to moderately positive reactions from film critics. Box office receipts for the film worldwide were about $162 million. The uncut version has since been released in DVD, HD DVD and Blu-ray Disc formats."
Cinderella (1950 film),"Cinderella is a 1950 American animated musical fantasy film produced by Walt Disney and originally released by RKO Radio Pictures. Based on the fairy tale Cinderella by Charles Perrault, it is the twelfth Disney animated feature film. The film was directed by Clyde Geronimi, Hamilton Luske, and Wilfred Jackson. Mack David, Jerry Livingston, and Al Hoffman wrote the songs, which include ""Cinderella"", ""A Dream Is a Wish Your Heart Makes"", ""Sing Sweet Nightingale"", ""The Work Song"", ""Bibbidi-Bobbidi-Boo"", and ""So This is Love"". It features the voices of Ilene Woods, Eleanor Audley, Verna Felton, Rhoda Williams, James MacDonald, Luis van Rooten, Don Barclay, Mike Douglas, William Phipps, and Lucille Bliss.
At the time, Walt Disney Productions had suffered from losing connections to the European film markets due to the outbreak of World War II, enduring some box office bombs like Pinocchio (1940), Fantasia (1940), and Bambi (1942), all of which would later become more successful with several re-releases in theaters and on home video. At the time, however, the studio was over $4 million in debt and was on the verge of bankruptcy. Walt Disney and his animators turned back to feature film production in 1948 after producing a string of package films with the idea of adapting Charles Perrault's Cendrillon into a motion picture. It is the first Disney film in which all of Disney's Nine Old Men worked together as directing animators. After two years in production, Cinderella was finally released on February 15, 1950. It became the greatest critical and commercial hit for the studio since Snow White and the Seven Dwarfs (1937), and helped reverse the studio's fortunes. It received three Academy Award nominations, including Best Music, Original Song for ""Bibbidi-Bobbidi-Boo"".Decades later, it was followed by two direct-to-video sequels, Cinderella II: Dreams Come True (2002) and Cinderella III: A Twist in Time (2007), and a 2015 live-action adaptation directed by Kenneth Branagh. The castle is duplicated at Magic Kingdom park in Disney World and with Sleeping Beauty Castle at the center of Disneyland is the basis for one of the production logos for Walt Disney Pictures. In 2018, the film was selected for preservation in the United States National Film Registry by the Library of Congress as being ""culturally, historically, or aesthetically significant""."
The Bank Job,"The Bank Job is a 2008 heist thriller film directed by Roger Donaldson, written by Dick Clement and Ian La Frenais, and starring Jason Statham, based on the 1971 Baker Street robbery in central London, from which the money and valuables stolen were never recovered. The producers allege that the story was prevented from being told in 1971 because of a D-Notice, allegedly to protect a prominent member of the British Royal Family. According to the producers, this film is intended to reveal the truth for the first time, although it includes significant elements of fiction.
The premiere was held in London on 18 February 2008. The film was released in the UK on 29 February 2008 and in the US on 7 March 2008. It has grossed $64.8 million worldwide.

"
Return of the Jedi,"Return of the Jedi (also known as Star Wars: Episode VI – Return of the Jedi)  is a 1983 American epic space opera film directed by Richard Marquand. The screenplay is by Lawrence Kasdan and George Lucas from a story by Lucas, who was also the executive producer. It is the third installment in the original Star Wars trilogy, the third film to be produced, the sixth film in the ""Star Wars saga"" and the first film to use THX technology. It takes place one year after The Empire Strikes Back. The film stars Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Kenny Baker, Peter Mayhew and Frank Oz.
In the film, the Galactic Empire, under the direction of the ruthless Emperor, is constructing a second Death Star in order to crush the Rebel Alliance once and for all. Since the Emperor plans to personally oversee the final stages of its construction, the Rebel Fleet launches a full-scale attack on the Death Star in order to prevent its completion and kill the Emperor, effectively bringing an end to his hold over the galaxy. Meanwhile, Luke Skywalker, now a Jedi Knight, struggles to bring his father Darth Vader back to the light side of the Force.
Steven Spielberg, David Lynch and David Cronenberg were considered to direct the project before Marquand signed on as director. The production team relied on Lucas' storyboards during pre-production. While writing the shooting script, Lucas, Kasdan, Marquand, and producer Howard Kazanjian spent two weeks in conference discussing ideas to construct it. Kazanjian's schedule pushed shooting to begin a few weeks early to allow Industrial Light & Magic more time to work on the film's effects in post-production. Filming took place in England, California, and Arizona from January to May 1982 (1982-05). Strict secrecy surrounded the production.
The film was released in theaters on May 25, 1983, six years to the day of the release of the first film, receiving mostly positive reviews. It grossed $374 million during its initial theatrical run, becoming the highest-grossing film of 1983. Several re-releases and revisions to the film have followed over the decades, which has also brought its total gross to $475 million."
The Empire Strikes Back,"The Empire Strikes Back, also known as Star Wars: Episode V – The Empire Strikes Back, is a 1980 American epic space opera film directed by Irvin Kershner and written by Leigh Brackett and Lawrence Kasdan, based on a story by George Lucas. Produced by Lucasfilm, it is the second film in the Star Wars film series (albeit the fifth chronologically) and the sequel to Star Wars (1977). Set three years after the events of the first film, the Galactic Empire, under the leadership of Darth Vader and the Emperor, pursues Luke Skywalker and the rest of the Rebel Alliance. While Vader relentlessly pursues Luke's friends—Han Solo, Princess Leia, Chewbacca, and C-3PO—Luke studies the Force under Jedi Master Yoda. The ensemble cast includes Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Kenny Baker, Peter Mayhew, and Frank Oz.
Following the success of Star Wars, Lucas hired Brackett to write the sequel; after her death in 1978, he outlined the Star Wars saga as a whole and wrote next draft himself, before hiring Kasdan. Lucas chose not to direct due to his obligations at Industrial Light & Magic and handling the financing, and passed the duty to Kershner, his former professor. Filmed from March to September 1979, The Empire Strikes Back faced a difficult production that included actor injuries, a set fire, and fines from the Writers and Directors Guilds of America. The initial budget was $18 million, but ballooned to $33 million by the time production concluded, making it one of the most expensive films ever made at the time.
The Empire Strikes Back premiered at the Kennedy Center in Washington, D.C. on May 17, 1980, and was released in the United States on May 21, 1980. The film became the highest-grossing film of 1980. Though it was met with divided reviews, it is now regarded as the best film in the Star Wars saga and one of the greatest films ever made. The film has grossed over $547 million worldwide from its original run and several rereleases. Adjusted for inflation, it is the second-highest-grossing sequel of all time and the thirteenth highest-grossing film of all time in North America. In 2010, the film was selected for preservation in the United States' National Film Registry by the Library of Congress as ""culturally, historically, or aesthetically significant"".
The Empire Strikes Back had a significant impact on filmmaking and popular culture, being regarded as a rare example of a sequel that transcends the original. The climax, in which Vader reveals to Luke that he is his father, is often cited as one of the greatest plot twists in cinematic history. The Empire Strikes Back was followed by Return of the Jedi in 1983. The two films, alongside the original Star Wars, comprise the original Star Wars trilogy."
Lara Croft: Tomb Raider,"Lara Croft: Tomb Raider is a 2001 action adventure film based on the Tomb Raider video game series featuring the character Lara Croft, portrayed by Angelina Jolie. An international co-production between the United States, the United Kingdom, Japan and Germany, it was directed by Simon West and revolves around Lara Croft trying to obtain ancient artifacts from the Illuminati.
The film was released on June 15, 2001, and received generally negative reviews from critics for its stylized action and bland plot, although Angelina Jolie was praised for her performance. Tomb Raider was the highest-grossing film on its opening weekend. A sequel, titled Lara Croft: Tomb Raider – The Cradle of Life, was released in 2003."
Planet of the Apes (1968 film),"Planet of the Apes is a 1968 American science fiction film directed by Franklin J. Schaffner. It stars Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans, James Whitmore, James Daly and Linda Harrison. The screenplay by Michael Wilson and Rod Serling was loosely based on the 1963 French novel La Planète des Singes by Pierre Boulle. Jerry Goldsmith composed the groundbreaking avant-garde score. It was the first in a series of five films made between 1968 and 1973, all produced by Arthur P. Jacobs and released by 20th Century Fox.The film tells the story of an astronaut crew who crash-lands on a strange planet in the distant future. Although the planet appears desolate at first, the surviving crew members stumble upon a society in which apes have evolved into creatures with human-like intelligence and speech. The apes have assumed the role of the dominant species and humans are mute creatures wearing animal skins.
The script, originally written by Serling, underwent many rewrites before filming eventually began. Directors J. Lee Thompson and Blake Edwards were approached, but the film's producer Arthur P. Jacobs, upon the recommendation of Charlton Heston, chose Franklin J. Schaffner to direct the film. Schaffner's changes included an ape society less advanced—and therefore less expensive to depict—than that of the original novel. Filming took place between May 21 and August 10, 1967, in California, Utah and Arizona, with desert sequences shot in and around Lake Powell, Glen Canyon National Recreation Area. The film's final ""closed"" cost was $5.8 million.
The film was released in the United States on February 8, 1968, and was a commercial success, earning a lifetime domestic gross of $32.6 million. The film was groundbreaking for its prosthetic makeup techniques by artist John Chambers and was well received by critics and audiences, launching a film franchise, including four sequels, as well as a short-lived television show, animated series, comic books, and various merchandising. In particular, Roddy McDowall had a long-running relationship with the Apes series, appearing in four of the original five films (absent, from the second film of the series, Beneath the Planet of the Apes, in which he was replaced by David Watson in the role of Cornelius), and also in the television series.
The original series was followed by Tim Burton's remake Planet of the Apes in 2001 and the reboot series begun by Rise of the Planet of the Apes in 2011.  In 2001, Planet of the Apes was selected for preservation in the United States National Film Registry by the Library of Congress as being ""culturally, historically, or aesthetically significant""."
The Martian (film),"The Martian is a 2015 science fiction film directed by Ridley Scott and starring Matt Damon. The Martian, a 2011 novel by Andy Weir, served as the screenplay adapted by Drew Goddard. The film depicts an astronaut's (Matt Damon) lone struggle to survive on Mars after being left behind, and efforts to rescue him and bring him home to Earth. It also stars Jessica Chastain, Jeff Daniels, Kristen Wiig, Chiwetel Ejiofor, Sean Bean, Michael Peña, Kate Mara, Sebastian Stan, Aksel Hennie, Mackenzie Davis, Donald Glover, and Benedict Wong.
Produced through 20th Century Fox, the film is a co-production of the United States and the United Kingdom. Producer Simon Kinberg began developing the film after Fox optioned the novel in March 2013, which Drew Goddard adapted into a screenplay and was initially attached to direct, but the film did not move forward. Scott replaced Goddard, and with Damon in place as the main character, production was approved. Filming began in November 2014 and lasted approximately seventy days. Twenty sets were built on one of the largest sound stages in the world in Budapest, Hungary. Wadi Rum in Jordan was also used for exterior filming.
The film premiered at the 2015 Toronto International Film Festival on September 11, 2015, while the London premiere was held on September 24, 2015. The film was released in the United Kingdom on September 30, 2015, and in the United States on October 2, 2015, in 2D, 3D, IMAX 3D and 4DX. It received positive reviews and grossed over $630 million worldwide, becoming Scott's highest-grossing film to date, as well as the 10th-highest-grossing film of 2015. The Martian received praise for its direction, visual effects, musical score, screenplay, scientific accuracy, and likability, largely due to Damon's performance. It received several accolades, including the Golden Globe Award for Best Motion Picture – Musical or Comedy, seven nominations at the 88th Academy Awards, including Best Picture and Best Adapted Screenplay for Goddard, and the 2016 long form Hugo Award for Best Dramatic Presentation. Damon won the Golden Globe Award for Best Actor – Motion Picture Musical or Comedy and was nominated for several awards including the Academy Award for Best Actor, the BAFTA Award for Best Actor in a Leading Role, and the Critic's Choice Award for Best Actor."
Step Brothers (film),"Step Brothers is a 2008 American comedy film directed by Adam McKay, produced by Jimmy Miller and Judd Apatow, and written by Will Ferrell and McKay from a story by Ferrell, McKay, and John C. Reilly. It follows Brennan (Ferrell) and Dale (Reilly), two grown men who are forced to live together as brothers after their single parents, with whom they still live, marry each other. Richard Jenkins, Mary Steenburgen, Adam Scott and Kathryn Hahn also star.
The film was released by Sony Pictures Releasing on July 25, 2008, two years after Talladega Nights: The Ballad of Ricky Bobby. Both films feature the same main actors, as well as the same producing and writing team. It grossed $128.1 million and received mixed reviews."
The Lego Movie 2: The Second Part,"The Lego Movie 2: The Second Part is a 2019 computer-animated adventure comedy film produced by the Warner Animation Group and distributed by Warner Bros. Pictures. Directed by Mike Mitchell, it is a sequel to The Lego Movie (2014), the fourth film in the franchise following the releases of 2017's The Lego Batman Movie and The Lego Ninjago Movie. The film stars Chris Pratt, Elizabeth Banks, Will Arnett, Charlie Day, Alison Brie, Nick Offerman, and Will Ferrell reprising their roles from the previous film, while new cast members include Stephanie Beatriz, Tiffany Haddish and Maya Rudolph (replacing Amanda Farinos). In the film, Emmet Brickowski attempts to rescue his friends from the Systar System, while dealing with a coming cataclysm known as ""Armamageddon"".
Plans for a sequel began in 2014 and was announced to be in the works on February 3, 2014, a few days before the release of the first film. It was announced a few months later that the film was being directed by Chris McKay while Phil Lord and Christopher Miller remained as writers and producers. The film since underwent many changes, such as rewrites, directors, and release dates.
The Lego Movie 2: The Second Part was released in the United States and United Kingdom on February 8, 2019, in 3D, RealD 3D, Dolby Cinema, IMAX, IMAX 3D, and 4DX formats. It received generally positive reviews from critics, who commended its humor, animation, soundtrack, and voice acting, although some said it was not as ""fresh"" as the first film. With a gross of over $192 million worldwide against a budget of $99 million, the film was a box office bomb compared to previous films in the series, and causing Warner Bros. to decide to let the film rights to The Lego Movie franchise to expire, selling the rights to Universal Pictures, and later set for a 5-year deal in the next four months."
Gilmore Girls,"Gilmore Girls is an American comedy-drama television series, created by Amy Sherman-Palladino and starring Lauren Graham and Alexis Bledel. The show debuted on October 5, 2000, on The WB and became a flagship series for the network. Gilmore Girls originally ran for seven seasons, the final season moving to The CW and ending its run on May 15, 2007.
The show's main focus is on the relationship between single mother, Lorelai Gilmore, and her daughter Rory, who live in Stars Hollow, Connecticut, a small fictional town filled with colorful characters. The series explores issues of family, romance, education, friendship, disappointment, and ambition, along with generational divides and social class. The latter themes manifest through Lorelai's difficult relationship with her high society parents, Emily and Richard, and Rory's experiences at the elite, private high school Chilton and later on at Yale University.
Sherman-Palladino, who served as showrunner for the majority of the series, infused Gilmore Girls with distinctive fast-paced dialogue filled with pop culture references. After season six, when the series moved to its new network, Sherman-Palladino left the show and was replaced by David S. Rosenthal for the final season. The series was produced and distributed by Warner Bros. Television and filmed on the studio's lot in Burbank, California.
Television critics praised Gilmore Girls for its witty dialogue, cross-generational appeal, and effective mix of humor and drama. It never drew large ratings but was a relative success for The WB, peaking during season five as the network's second most-popular show. The series has been in daily syndication since 2004, while a growing and dedicated fandom has led to its status as a cult classic. Since coming off the air, Gilmore Girls has been cited in TV (The Book) and Time magazine as one of the 100 greatest television shows of all time. In 2016, the main cast and Sherman-Palladino returned for a four-part miniseries revival titled Gilmore Girls: A Year in the Life, which streamed on Netflix."
Prisoners of the Sun (film),"Prisoners of the Sun is a 2013 British-French adventure horror film directed by Roger Christian starring John Rhys-Davies, David Charvet, Carmen Chaplin, Emily Holmes, Nick Moran, Joss Ackland, Michael Higgs, Gulshan Grover and Shane Richie."
Mad Max (franchise),"Mad Max is an Australian dystopian action media franchise created by George Miller and Byron Kennedy. It began in 1979 with Mad Max, and was followed by three films: Mad Max 2 (1981, released in the United States as The Road Warrior), Mad Max Beyond Thunderdome (1985) and Mad Max: Fury Road (2015). Mel Gibson starred in the first three films and Tom Hardy took over as Max in the fourth film.
The series follows the adventures of Max Rockatansky, a police officer in a future Australia which is experiencing societal collapse due to war and critical resource shortages. When his wife and child are murdered by a vicious biker gang, Max kills them in revenge and becomes a drifting loner in the Wasteland. As Australia devolves further into barbarity, this skilled warrior of the road finds himself helping pockets of civilisation, initially for his own self-interest, but his motives always drift into more idealistic ones.
The series has been well-received by critics, with each film marked ""Certified Fresh"" on the film review aggregate site Rotten Tomatoes; Mad Max 2 and Fury Road in particular have been ranked among the best action films ever made. Furthermore, the series has also had a significant influence on popular culture, most notably apocalyptic and post-apocalyptic fiction, and encompasses works in additional media, including video games and comic books. In 2016, Fury Road became the first film of the Mad Max franchise to receive Academy Award recognition, including being nominated for Best Picture and Best Director for Miller, and winning six of its ten nominations."
John Wick: Chapter 3 – Parabellum,"John Wick: Chapter 3 – Parabellum is a 2019 American neo-noir action-thriller film starring Keanu Reeves as the eponymous character. It is the third installment in the John Wick film series, following John Wick (2014) and John Wick: Chapter 2 (2017). The film is directed by Chad Stahelski and written by Derek Kolstad, Shay Hatten, Chris Collins, and Marc Abrams, based on a story by Kolstad. It also stars Halle Berry, Laurence Fishburne, Mark Dacascos, Asia Kate Dillon, Lance Reddick, Anjelica Huston, and Ian McShane. In the film, which picks up minutes after the end of the previous film, ex-hitman John Wick finds himself on the run from legions of assassins after a $14 million contract is put on his head due to his recent actions.
The third installment was announced in June 2017. Much of the returning cast and crew was confirmed in February 2018, with new members joining that May. Filming began that month and lasted through November, taking place in New York City, Montreal, and Morocco.
Parabellum was theatrically released in the United States on May 17, 2019, by Lionsgate. It grossed $326 million worldwide, becoming the highest-grossing film of the franchise in just 10 days, and received positive reviews from critics, with praise for the action sequences, visual style, and Reeves's performance. A sequel, John Wick: Chapter 4, is set to be released on May 27, 2022."
Captain America: The First Avenger,"Captain America: The First Avenger is a 2011 American superhero film based on the Marvel Comics character Captain America. Produced by Marvel Studios and distributed by Paramount Pictures, it is the fifth film in the Marvel Cinematic Universe (MCU). The film was directed by Joe Johnston, written by Christopher Markus and Stephen McFeely, and stars Chris Evans as Steve Rogers / Captain America alongside Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper, Neal McDonough, Derek Luke, and Stanley Tucci. During World War II, Steve Rogers, a sickly man, is transformed into the super-soldier Captain America and must stop the Red Skull from using the Tesseract as an energy-source for world domination.
The film began as a concept in 1997 and was scheduled for distribution by Artisan Entertainment. However, a lawsuit disrupted the project and was not settled until September 2003. In 2005, Marvel Studios received a loan from Merrill Lynch, and planned to finance and release the film through Paramount Pictures. Directors Jon Favreau and Louis Leterrier were interested in directing the project before Johnston was approached in 2008. The principal characters were cast between March and June 2010. Production began in June, and filming took place in London, Manchester, Caerwent, Liverpool, and Los Angeles. Several different techniques were used by the visual effects company Lola to create the physical appearance of the character before he becomes Captain America.
Captain America: The First Avenger premiered at the El Capitan Theatre on July 19, 2011, and was released in the United States on July 22, as part of Phase One of the MCU. The film was commercially successful, grossing over $370 million worldwide. Critics particularly praised Evans' performance, the film's depiction of its 1940s time period, and Johnston's direction. Two sequels have been released, Captain America: The Winter Soldier in 2014 and Captain America: Civil War in 2016.

"
